,Accuracy
0,0.945339
1,0.953404
2,0.956288
3,0.957609
4,0.95909
5,0.960163
6,0.960788
7,0.961633
8,0.961799
9,0.96274
10,0.963002
11,0.963532
12,0.963861
13,0.964186
14,0.964215
