,accuracy
0,0.9447
1,0.9535
2,0.956
3,0.9576
4,0.9589
5,0.9599
6,0.961
7,0.9618
8,0.962
9,0.9627
10,0.963
11,0.9631
12,0.9638
13,0.9641
14,0.9644
